Date_month,Registered_rentals,Casual_rentals,Total_rentals
2011-01,35116,3073,38189
2011-02,41973,6242,48215
2011-03,51219,12826,64045
2011-04,72524,22346,94870
2011-05,104771,31050,135821
2011-06,112900,30612,143512
2011-07,104889,36452,141341
2011-08,107849,28842,136691
2011-09,100873,26545,127418
2011-10,98289,25222,123511
2011-11,86573,15594,102167
2011-12,78875,8448,87323
2012-01,87775,8969,96744
2012-02,94416,8721,103137
2012-03,133257,31618,164875
2012-04,135768,38456,174224
2012-05,151630,44235,195865
2012-06,159536,43294,202830
2012-07,161902,41705,203607
2012-08,171306,43197,214503
2012-09,174795,43778,218573
2012-10,164303,34538,198841
2012-11,131655,21009,152664
2012-12,110468,13245,123713
